Comprensión de Textos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N°;RED;INSTITUCION_EDUCATIVA;GRADO;SECCION;TURNO;NRO_DE_ESTUDIANTES_MATRICULADOS;NRO_DE_ESTUDIANTES_EVALUADOS;P 1;P 2;P 3;P 4;P 5;P 6;P 7;P 8;P 9;P 10;P 11;P 12;P 13;P 14;P 15;P 16;P 17;P 18;P 19;P 20;;CAPACIDADES;;;;%_POR_CAPACIDAD;;;;PROMEDIO_X_SECCION
;;;;;;;;C1;C2;C1;C2;C3;C1;C2;C3;C2;C3;C1;C2;C2;C3;C2;C2;C2;C2;C3;C1;;C1;C2;C3;;C1;C2;C3;;
1;1;"I.E. Nº 5116 ""DIVINO CREADOR""";6to;2;2;51;51;42;26;35;27;12;46;43;41;43;20;16;36;19;26;29;34;29;31;44;31;;3;6;3;0;67%;62%;56%;0%;24
2;1;"I.E. Nº 5122 ""ANDRES RAZURI ESTEVEZ""";6to;3;3;105;103;92;54;77;85;35;100;92;85;86;49;34;71;49;68;77;81;55;61;79;67;;4;7;3;0;70%;68%;60%;0%;26
3;1;"I.E. Nº 5124 ""LIBERTADOR SIMON BOLIVAR""  HIROSHIMA";6to;3;3;124;124;80;49;59;73;44;100;90;84;85;56;46;77;53;71;63;72;73;68;81;58;;3;6;3;0;55%;57%;55%;0%;23
4;1;"I.E. Nº 5125 ""CASUARINAS""";6to;5;5;172;168;144;96;115;127;73;156;148;132;143;89;55;119;70;89;104;100;82;87;139;116;;3;7;3;0;70%;64%;62%;0%;26
5;1;"I.E. Nº 5127 ""MÁRTIR JOSE OLAYA """;6to;5;5;180;167;151;88;126;124;94;154;150;140;152;88;64;123;101;113;110;127;126;115;152;134;;4;7;4;0;76%;73%;71%;0%;29
6;1;"I.E. Nº 5129 ""VENCEDORES DE PACHACÚTEC""";6to;4;4;136;128;114;71;96;96;53;117;107;101;112;67;43;90;73;71;71;88;91;94;102;93;;4;7;3;0;73%;70%;61%;0%;27
7;1;"I.E. Nº 5130- ""PACHACÚTEC""";6to;5;5;179;168;145;90;124;115;81;154;144;139;135;69;56;103;81;98;106;125;106;106;132;127;;4;7;3;0;72%;66%;61%;0%;26
8;1;I.E. Nº 5140 PRES. DE LA REPUBLICA DE COLOMBIA DR. ALVARO URIBE VELEZ;6to;4;0;111;111;94;49;66;55;41;74;71;66;77;48;21;52;41;51;54;49;33;48;59;55;;4;4;2;0;58%;43%;40%;0%;19
9;1;I.E. 5141;6to;3;3;107;111;94;60;79;75;46;100;88;81;85;46;36;65;47;57;62;80;79;77;71;59;;3;7;3;0;67%;65%;55%;0%;24
10;1;I.E. Nº  5147;6to;2;2;43;39;34;14;30;27;16;35;34;31;33;17;14;25;18;20;20;27;24;26;32;25;;4;6;3;0;71%;64%;59%;0%;25
11;1;IE Nº 5148 - LAS BRISAS DE PACHACÚTEC;6to;1;1;27;28;26;11;17;18;1;24;25;21;17;11;3;14;11;14;16;19;13;12;19;21;;3;6;2;0;65%;56%;47%;0%;21
12;1;I.E. N° 5154;6to;1;1;24;21;18;6;17;17;8;21;18;21;18;10;4;15;7;11;17;16;13;12;15;12;;3;6;3;0;65%;63%;59%;0%;25
13;1;I.E. FE Y ALEGRIA 59;6to;2;2;70;70;64;47;52;62;38;67;62;64;62;44;37;51;35;45;55;56;54;49;61;56;;4;8;4;0;79%;76%;72%;0%;30
14;1;I.E. SAN JUAN MACIAS;6to;1;1;29;29;28;17;22;24;17;29;24;26;27;18;12;21;19;20;22;27;21;25;27;21;;4;8;4;0;77%;78%;74%;0%;31
15;1;IE Nº 5142  - VIRGEN DE GUADALUPE;6to;2;2;75;72;68;34;50;57;27;67;63;56;63;27;28;56;37;37;40;45;44;46;53;37;;4;7;3;0;70%;67%;56%;0%;26
16;2;"I.E. Nº 5117 ""JORGE PORTOCARRERO REBAZA""";6to;5;5;158;153;144;80;114;116;57;147;142;128;131;69;54;101;84;99;82;114;110;103;115;106;;4;7;3;0;73%;68%;60%;0%;26
17;2;"I.E. Nº 5128 "" SAGRADO CORAZÓN DE MARIA""";6to;5;5;157;155;141;96;130;123;82;;140;134;137;91;56;95;77;92;96;123;114;87;111;103;;4;7;3;0;74%;70%;66%;0%;28
18;2;"I.E. Nº 5144 ""DIVINO CRISTO EN LAS ALTURAS""";6to;2;2;52;45;34;28;28;40;18;40;37;40;35;21;17;28;25;23;31;29;32;28;34;34;;4;7;3;0;68%;70%;61%;0%;27
19;2;"I.E. Nº 5145 ""BALNEARIO""";6to;3;3;99;90;77;35;58;68;30;78;76;75;75;33;18;46;37;49;50;64;49;51;62;42;;3;6;3;0;61%;61%;55%;0%;24
20;2;I.E. Nº 5146;6to;2;2;73;67;65;35;40;52;29;63;57;56;59;25;17;37;34;46;42;41;44;43;58;35;;3;7;3;0;66%;67%;64%;0%;26
21;2;I.E. N° 5152;6to;1;0;37;34;27;20;24;26;16;32;32;30;29;17;9;22;16;20;15;19;16;16;21;17;;3;6;3;0;64%;62%;61%;0%;25
22;2;"I.E. ""FE Y ALEGRIA"" Nº 76";6to;2;2;65;62;54;29;49;51;28;60;57;57;56;31;29;45;42;41;43;48;48;48;61;48;;4;8;4;0;78%;76%;71%;0%;30
23;2;I.E. COPRODELI SAN FRANCISCO SOLANO;6to;2;0;63;63;60;51;49;50;40;61;56;57;57;38;38;49;46;43;49;58;53;53;55;55;;4;8;4;0;84%;83%;74%;0%;32
24;2;I.E. COPRODELI SAN MARTIN;6to;1;1;33;33;33;26;29;26;25;33;30;33;33;22;21;29;24;26;28;26;27;20;30;27;;4;8;4;0;87%;82%;82%;0%;33
