Comprensión de Textos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N°;RED;INSTITUCION_EDUCATIVA;GRADO;SECCION;TURNO;NRO_DE_ESTUDIANTES_MATRICULADOS;NRO_DE_ESTUDIANTES_EVALUADOS;P 1;P 2;P 3;P 4;P 5;P 6;P 7;P 8;P 9;P 10;P 11;P 12;P 13;P 14;P 15;P 16;P 17;P 18;P 19;P 20;;CAPACIDADES;;;;%_POR_CAPACIDAD;;;;PROMEDIO_X_SECCION
;;;;;;;;C1;C1;C2;C2;C3;C1;C2;C3;C2;C2;C2;C2;C1;C3;C3;C2;C2;C1;C2;C3;;C1;C2;C3;;C1;C2;C3;;
1;1;"I.E. Nº 5116 ""DIVINO CREADOR""";5to;3;3;53;52;35;40;46;23;41;31;36;36;26;33;10;28;18;30;21;34;12;33;38;46;;3;5;3;0;59%;54%;66%;0%;24
2;1;"I.E. Nº 5122 ""ANDRES RAZURI ESTEVEZ""";5to;4;4;133;129;85;72;84;59;105;61;81;97;82;85;57;82;56;81;55;78;43;49;83;108;;3;6;3;0;49%;55%;68%;0%;24
3;1;"I.E. Nº 5124 ""LIBERTADOR SIMON BOLIVAR""  HIROSHIMA";5to;4;4;169;166;109;92;104;78;107;89;94;96;83;94;71;93;68;89;67;97;59;76;90;105;;3;5;3;0;50%;51%;55%;0%;21
4;1;"I.E. Nº 5125 ""CASUARINAS""";5to;5;5;174;173;110;98;12;75;130;75;107;114;101;105;69;92;79;99;67;94;50;11;108;120;;2;5;3;0;43%;47%;62%;0%;21
5;1;"I.E. Nº 5127 ""MÁRTIR JOSE OLAYA """;5to;5;5;192;185;141;121;156;114;153;122;128;129;123;126;79;122;99;139;78;123;90;110;124;155;;2;5;3;0;50%;51%;58%;0%;22
6;1;"I.E. Nº 5129 ""VENCEDORES DE PACHACÚTEC""";5to;4;4;133;123;87;77;6;68;106;74;86;99;87;94;43;67;56;81;53;78;42;8;84;97;;2;6;4;0;49%;53%;71%;0%;24
7;1;"I.E. Nº 5130- ""PACHACÚTEC""";5to;5;5;187;171;127;131;152;116;155;126;142;144;122;131;95;117;96;120;88;111;70;95;106;118;;3;7;3;0;66%;67%;73%;0%;28
8;1;I.E. Nº 5140 PRES. DE LA REPUBLICA DE COLOMBIA DR. ALVARO URIBE VELEZ;5to;5;0;139;138;80;56;75;50;87;70;90;92;72;54;44;82;60;76;43;60;45;36;65;78;;3;3;2;0;39%;44%;46%;19%;11
9;1;I.E. 5141;5to;2;2;76;90;49;39;61;42;51;43;52;42;43;46;18;38;28;49;25;48;23;32;41;55;;2;5;2;0;43%;46%;50%;0%;19
10;1;I.E. Nº  5147;5to;3;3;55;49;37;37;44;39;43;31;38;40;33;42;13;34;31;34;17;33;17;30;27;24;;3;6;3;0;65%;63%;63%;0%;25
11;1;IE Nº 5148 - LAS BRISAS DE PACHACÚTEC;5to;1;1;33;31;21;20;26;17;28;20;20;27;16;20;13;18;14;21;14;20;9;14;19;19;;3;6;4;0;57%;57%;70%;0%;25
12;1;I.E. N° 5154;5to;1;1;32;29;19;17;20;13;24;15;21;23;16;22;12;13;10;13;13;14;9;6;13;20;;2;5;3;0;46%;53%;64%;0%;22
13;1;I.E. FE Y ALEGRIA 59;5to;2;2;72;72;53;52;66;40;66;52;60;65;53;60;40;52;44;58;39;57;29;47;55;66;;3;7;4;0;69%;71%;82%;0%;30
14;1;I.E. SAN JUAN MACIAS;5to;1;1;36;36;26;25;33;27;36;20;34;31;28;29;15;26;23;30;17;31;13;20;28;27;;0;7;4;0;0%;73%;78%;0%;30
15;1;IE Nº 5142  - VIRGEN DE GUADALUPE;5to;2;2;78;70;47;39;62;38;61;33;53;49;46;50;23;43;26;47;32;41;23;30;44;56;;2;4;2;0;28%;33%;37%;0%;14
16;2;"I.E. Nº 5117 ""JORGE PORTOCARRERO REBAZA""";5to;4;4;149;145;108;112;127;85;123;109;113;113;99;104;56;96;85;108;63;108;75;93;116;123;;3;7;4;0;71%;68%;74%;0%;28
17;2;"I.E. Nº 5128 "" SAGRADO CORAZÓN DE MARIA""";5to;5;5;150;142;109;96;123;89;126;90;116;106;97;111;66;102;79;103;58;108;60;76;96;123;;3;7;4;0;63%;68%;73%;0%;28
18;2;"I.E. Nº 5144 ""DIVINO CRISTO EN LAS ALTURAS""";5to;2;2;57;53;36;27;41;26;42;35;39;38;32;36;21;26;27;30;21;33;22;27;27;33;;3;6;4;0;58%;57%;62%;0%;24
19;2;"I.E. Nº 5145 ""BALNEARIO""";5to;3;3;103;91;55;44;62;36;65;46;58;66;54;63;30;48;33;50;30;49;27;29;49;70;;2;5;3;0;45%;52%;62%;0%;22
20;2;I.E. Nº 5146;5to;2;2;61;58;45;36;49;33;51;35;49;48;42;45;28;35;21;43;24;35;20;31;47;52;;3;7;4;0;58%;66%;75%;0%;28
21;2;I.E. N° 5152;5to;2;2;59;57;38;31;53;23;54;21;41;40;34;39;14;38;23;40;23;40;12;25;35;39;;3;6;3;0;49%;58%;69%;0%;25
22;2;"I.E. ""FE Y ALEGRIA"" Nº 76";5to;2;2;70;69;50;49;59;41;63;40;55;54;53;47;38;49;36;52;27;49;28;32;57;64;;3;7;4;0;60%;69%;75%;0%;28
23;2;I.E. COPRODELI SAN FRANCISCO SOLANO;5to;2;0;61;59;48;40;57;46;54;42;48;51;48;52;30;41;36;50;25;52;19;33;40;53;;4;8;4;0;67%;74%;79%;0%;30
24;2;I.E. COPRODELI SAN MARTIN;5to;1;1;34;34;21;19;30;19;32;20;33;31;28;33;18;26;25;30;15;28;16;24;32;34;;3;8;4;0;64%;77%;84%;0%;31
25;2;I.E. CROPODELI SANTA MARIA ASUNTA AL CIELO;5to;2;2;64;59;51;39;56;37;56;36;58;48;51;48;16;36;29;52;24;50;23;42;48;57;;3;7;4;0;67%;72%;80%;0%;30
26;2;I.E. N° 5156 ELIAS AGUIRRE;5to;2;2;74;77;45;51;65;40;60;47;50;53;51;52;27;51;38;50;33;50;23;37;54;64;;2;3;2;0;27%;32%;33%;0%;13
27;3;IE N° 5087;5to;2;2;69;62;42;40;54;29;51;44;54;49;36;43;30;43;27;40;20;38;17;30;44;53;;3;6;3;0;58%;61%;68%;0%;25
28;3;IE N° 5120;5to;3;3;98;97;63;54;87;49;83;53;72;76;67;64;44;72;52;67;37;67;45;46;67;81;;3;7;4;0;55%;65%;71%;0%;27
29;3;FE Y ALEGRIA N°43;5to;3;3;98;94;72;52;91;65;88;53;79;74;71;70;45;71;44;80;34;82;41;59;81;90;;3;7;4;0;59%;74%;78%;0%;29
30;3; IE N° 3720 NUESTRA SEÑORA DE LA MISERICORDIA;5to;3;3;93;91;78;72;87;67;81;64;77;83;80;82;50;72;65;84;56;80;56;69;71;80;;4;8;4;0;77%;79%;84%;0%;32
31;3;ESCUELA HOGAR COMUNITARIA REGIONAL SAGRADA FAMILIA;5to;3;3;83;80;23;28;27;27;43;32;47;30;26;23;28;28;19;32;14;16;25;21;33;19;;2;3;2;0;31%;35%;34%;0%;14
32;3;IEN°5094 NACIONES UNIDAS;5to;4;4;131;129;100;74;111;71;113;74;95;105;87;93;55;77;68;84;52;82;47;51;95;104;;3;6;4;0;57%;63%;71%;0%;26
33;3;IEN° 5123 FRANCISCO BOLOGNESI;5to;3;3;95;92;67;57;86;60;79;59;77;79;65;75;30;55;42;75;37;63;35;47;63;85;;3;7;4;0;59%;66%;77%;0%;28
34;3;IE N° 3089  “LOS ANGELES”;5to;4;4;135;132;96;95;113;78;107;81;96;99;84;101;51;91;61;86;54;89;45;64;90;117;;3;6;4;0;60%;64%;70%;0%;26
35;3;IE N° 5077 “FAUSTINO SANCHEZ CARRION”;5to;4;4;138;134;102;97;8;82;118;98;104;109;98;99;55;78;55;100;50;88;48;5;91;118;;3;6;4;0;53%;56%;74%;0%;25
36;3;IE 5121 “PEDRO PLANA SILVA”;5to;4;4;112;111;77;73;90;59;89;70;82;86;71;82;59;83;67;84;64;87;63;64;84;89;;3;5;3;0;46%;50%;51%;0%;29
37;4;IE N° 5098 KUMAMOTO;5to;2;2;77;73;45;33;67;38;60;47;48;50;50;51;34;47;29;47;29;46;26;33;50;60;;3;7;4;0;53%;65%;70%;0%;26
38;4;IE N° 5119 VILLA EMILIA;5to;3;3;103;98;64;59;70;44;69;53;56;65;47;54;35;55;45;52;41;53;40;46;57;66;;3;5;3;0;54%;52%;59%;0%;22
39;4;IE N° 5130-2 VILLA DEL MAR;5to;1;1;31;31;24;20;26;21;23;25;25;27;25;27;13;19;19;20;26;22;19;21;15;27;;4;7;4;0;70%;68%;79%;0%;29
40;4;IE N° 5130-4 CHAVINILLO;5to;2;2;55;55;26;19;25;21;27;25;24;26;34;19;20;27;19;23;16;23;17;24;24;28;;2;5;3;0;43%;44%;46%;0%;18
41;4;IE N° 5135 LA SALLE;5to;2;2;53;52;36;33;42;26;45;29;40;38;32;42;22;37;22;34;22;32;16;21;38;43;;3;7;4;0;54%;63%;70%;0%;26
42;4;IE FE Y ALEGRIA N° 33;5to;5;5;153;151;107;100;2;95;131;77;126;123;121;122;68;111;68;117;75;110;55;5;117;134;;3;6;4;0;47%;61%;77%;0%;26
43;4;IE MANUEL SEOANE C.;5to;7;0;283;266;190;156;220;123;229;156;204;214;183;188;84;175;133;163;95;161;79;114;165;186;;3;5;3;0;47%;51%;59%;0%;17
44;5;"I.E. N° 4020 ""JOSÉ SANTOS CHOCANO""";5to;2;2;89;56;35;33;28;35;35;33;37;35;34;40;29;35;26;39;25;34;22;14;30;36;;3;6;3;0;50%;58%;60%;0%;23
45;5;"I.E. N° 5051 ""VIRGEN DE FATIMA""";5to;4;4;144;138;85;64;118;71;111;91;104;111;102;101;46;89;67;80;43;87;45;62;92;85;;3;6;3;0;53%;62%;62%;0%;24
46;5;"I.E. N° 5052 ""VIRGEN DE LA MERCED """;5to;6;6;191;176;125;102;144;93;137;115;134;144;126;133;57;112;86;117;67;124;63;95;122;146;;3;6;4;0;59%;63%;69%;0%;26
47;5;"I.E. N° 5053 ""VÍCTOR ANDRÉS BELAÚNDE""";5to;9;9;289;269;184;173;211;160;205;155;204;219;181;204;109;158;112;174;92;172;72;115;176;204;;3;6;3;0;56%;58%;63%;0%;25
48;5;I.E. N° 5096;5to;3;1;117;108;83;86;59;52;72;61;71;89;77;61;57;66;57;67;55;70;59;25;68;62;;3;6;3;0;58%;59%;64%;0%;24
49;5;I.E. N° 5137;5to;1;1;35;30;21;18;4;10;24;16;20;21;15;19;11;14;9;15;12;15;5;1;17;13;;2;4;3;0;43%;43%;57%;0%;19
50;5;I.E. NUESTRA SEÑORA DE BELÉN;5to;3;3;102;87;65;55;74;47;69;62;70;68;58;68;32;56;37;54;34;58;28;42;54;63;;3;6;3;0;58%;61%;64%;0%;25
51;5;I.E. FE Y ALEGRÍA 29;5to;3;3;96;95;73;63;87;69;88;66;83;86;82;85;34;61;59;76;36;77;32;60;73;81;;3;7;4;0;68%;72%;77%;0%;29
52;6;I.E. Nº 4021;5to;3;3;112;98;39;47;84;39;78;55;69;66;48;69;31;53;32;49;43;50;27;32;60;53;;2;5;3;0;45%;53%;61%;0%;22
53;6;"I.E. Nº 5090 ""ANTONIA MORENO DE CACERES""";5to;2;2;64;59;47;40;52;35;46;39;39;45;42;48;19;41;22;41;22;34;16;29;32;42;;3;6;3;0;60%;61%;67%;0%;26
54;6;"I.E. Nº 5093 ""ANTONIO RAYMONDI""";5to;4;4;134;133;101;95;118;86;121;96;110;112;108;109;65;93;73;115;64;107;52;88;102;112;;4;7;4;0;68%;71%;79%;0%;30
55;7;"I.E N° 5088 ""HÉROES DELPACÍFICO""";5to;4;4;146;142;92;94;120;72;125;89;114;113;96;109;43;92;62;90;57;97;55;59;107;122;;3;6;4;0;56%;64%;71%;0%;26
56;7;"I.E. LICEO NAVAL C. DE C. ""MANUEL CLAVERO MUGA""";5to;3;3;90;90;59;52;80;67;82;58;73;77;67;68;51;51;51;74;37;75;34;60;71;80;;3;7;4;0;62%;71%;78%;0%;29
57;7;IE 5091 HIJOS DE GRAU;5to;3;3;89;86;53;47;64;40;64;48;65;63;53;51;32;42;45;49;23;48;27;32;64;62;;3;6;4;0;56%;61%;65%;0%;25
58;7;IE N 5086 POLITECNICO DE VENTANILLA;5to;3;3;108;107;78;71;92;54;84;80;80;89;84;82;35;73;53;76;56;77;48;60;71;77;;3;6;4;0;64%;65%;71%;0%;27
59;7;IE N° 5130-1;5to;3;3;88;82;55;43;67;38;65;53;60;64;47;57;39;43;41;51;31;51;21;27;49;53;;3;6;3;0;54%;57%;65%;0%;24
60;7;IE. N° 5130-3 VRHT;5to;2;2;66;64;56;33;41;15;54;32;40;57;40;23;13;38;27;30;14;35;11;11;33;32;;3;5;3;0;26%;32%;30%;0%;21
61;7;IE.5118 CMDTE JUAN VALER SANDOVAL;5to;4;4;140;140;98;80;121;72;117;94;115;113;103;101;62;99;67;95;54;91;47;62;95;100;;3;7;4;0;58%;65%;69%;0%;26
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACIERTOS POR ITEM;;;;61;0;6351;6066;4,193;3,718;4,439;3,284;4,932;3,666;4,496;4,637;4,060;4,284;2,434;3,812;2,901;4,055;2,459;3,962;2,197;2,640;4,027;4,609;;3;6;3;0;53%;59%;66%;0%;25
PORCENTAJES POR ITEMS;;;;;;;;69%;61%;73%;54%;81%;60%;74%;76%;67%;71%;40%;63%;48%;67%;41%;65%;36%;44%;66%;76%;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Matemática;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N°;RED;INSTITUCION_EDUCATIVA;GRADO;SECCION;TURNO;NRO_DE_ESTUDIANTES_MATRICULADOS;NRO_DE_ESTUDIANTES_EVALUADOS;P 1;P 2;P 3;P 4;P 5;P 6;P 7;P 8;P 9;P 10;P 11;P 12;P 13;P 14;P 15;P 16;P 17;P 18;P 19;P 20;;CAPACIDADES;;;;%_POR_CAPACIDAD;;;;PROMEDIO_X_SECCION
;;;;;;;;C1;C1;C1;C1;C1;C1;C1;C1;C1;C3;C1;C2;C1;C3;C1;C4;C2;C1;C1;C4;;C1;C2;C3;C4;C1;C2;C3;C4;
1;1;"I.E. Nº 5116 ""DIVINO CREADOR""";5to;3;3;57;53;30;18;21;40;34;18;16;15;14;20;28;15;20;29;39;8;39;23;23;28;;6;1;1;1;45%;50%;46%;34%;18
2;1;"I.E. Nº 5122 ""ANDRES RAZURI ESTEVEZ""";5to;4;4;132;123;46;49;46;81;89;50;47;29;48;58;42;32;41;43;67;16;59;46;33;72;;6;1;1;1;46%;37%;33%;32%;16
